UA;EDAD;SEXO;NIV_EDUCATIVO;VOTO_CANDIDATO;VOTO_ACOTADO;JAMAS_VOTARIA;GESTION_CRISTINA;ECONOMIA_PAIS_2_AÑOS;ECONOMIA_FLIAR_2_AÑOS;CONTINUIDAD_O_CAMBIO;REPRESENTACION_DEL_CAMBIO;AGENDA_DE_TEMAS;PERCEPCION_DE_GANADOR;INFLUENCIA_DE_CRISTINA_EN_SCIOLI;POSICIONAMIENTO_ESPACIAL;POSICIONAMIENTO_RESPECTO_PERONISMO;POSICIONAMIENTO_RESPECTO_KIRCHNERISMO;VOTO_PASO;NE_BSAS
1;30-49;MUJER;TERCIARIO NO UNIV. INCOMPLETO;DANIEL SCIOLI;DANIEL SCIOLI;SERGIO MASSA;APRUEBA;SE MANTUVO IGUAL / NO CAMBIO;MEJORÓ;MANTENER ALGUNAS Y CAMBIAR OTRAS;SERGIO MASSA;EMPLEO;DANIEL SCIOLI;NINGUNA;NI DE IZQUIERDA NI DE DERECHA;PERONISTA;NI KIRCHNERISTA NI ANTI KIRCHNERISTA;DANIEL SCIOLI;SEC. COMP-TERC. INC
2;>65;VARON;SECUNDARIO INCOMPLETO O COMPLETO;DANIEL SCIOLI;DANIEL SCIOLI;MAURICIO MACRI;APRUEBA;SE MANTUVO IGUAL / NO CAMBIO;MEJORÓ;MANTENER POLITICAS ACUTUALES;DANIEL SCIOLI;EDUCACION, ASISTENCIA SOCIAL, SALUD;DANIEL SCIOLI;BASTANTE;TOTALMENTE DE IZQUIERDA;NI PERONISTA NI ANTI PERONISTA;KIRCHNERISTA;DANIEL SCIOLI;SEC. COMP-TERC. INC
3;50-65;VARON;PRIMARIO COMPLETO;DANIEL SCIOLI;DANIEL SCIOLI;DANIEL SCIOLI;APRUEBA;EMPEORÓ;EMPEORÓ;MANTENER ALGUNAS Y CAMBIAR OTRAS;NINGUNO;SEGURIDAD;DANIEL SCIOLI;BASTANTE;NO SABE;PERONISTA;KIRCHNERISTA;BLANCO / NO VOTO;P. COMPLETA
4;30-49;VARON;TERCIARIO NO UNIV. INCOMPLETO;DANIEL SCIOLI;DANIEL SCIOLI;MAURICIO MACRI;APRUEBA;SE MANTUVO IGUAL / NO CAMBIO;MEJORÓ;MANTENER POLITICAS ACUTUALES;DANIEL SCIOLI;EDUCACION, ASISTENCIA SOCIAL, SALUD;DANIEL SCIOLI;POCA;MAS IZQUIERDA QUE DERECHA;PERONISTA;KIRCHNERISTA;DANIEL SCIOLI;SEC. COMP-TERC. INC
5;>65;VARON;PRIMARIO COMPLETO;MAURICIO MACRI;MAURICIO MACRI;DANIEL SCIOLI;DESAPRUEBA;EMPEORÓ;EMPEORÓ;MANTENER ALGUNAS Y CAMBIAR OTRAS;MAURICIO MACRI;EDUCACION, ASISTENCIA SOCIAL, SALUD;MAURICIO MACRI;NINGUNA;NI DE IZQUIERDA NI DE DERECHA;PERONISTA;ANTI KIRCHNERISTA;MAURICIO MACRI;P. COMPLETA
6;50-65;VARON;PRIMARIO COMPLETO;SERGIO MASSA;SERGIO MASSA;DANIEL SCIOLI;DESAPRUEBA;SE MANTUVO IGUAL / NO CAMBIO;EMPEORÓ;MANTENER POLITICAS ACUTUALES;SERGIO MASSA;SEGURIDAD;MAURICIO MACRI;BASTANTE;NI DE IZQUIERDA NI DE DERECHA;PERONISTA;ANTI KIRCHNERISTA;MAURICIO MACRI;P. COMPLETA
7;>65;VARON;SECUNDARIO INCOMPLETO O COMPLETO;MAURICIO MACRI;MAURICIO MACRI;NINGUNO / EN BLANCO;DESAPRUEBA;EMPEORÓ;EMPEORÓ;MANTENER ALGUNAS Y CAMBIAR OTRAS;MAURICIO MACRI;SEGURIDAD;NO SABE;BASTANTE;NO SABE;NI PERONISTA NI ANTI PERONISTA;ANTI KIRCHNERISTA;MAURICIO MACRI;SEC. COMP-TERC. INC
8;30-49;VARON;SECUNDARIO INCOMPLETO O COMPLETO;DANIEL SCIOLI;DANIEL SCIOLI;MAURICIO MACRI;APRUEBA;MEJORÓ;MEJORÓ;MANTENER ALGUNAS Y CAMBIAR OTRAS;DANIEL SCIOLI;EDUCACION, ASISTENCIA SOCIAL, SALUD;DANIEL SCIOLI;BASTANTE;NI DE IZQUIERDA NI DE DERECHA;PERONISTA;NI KIRCHNERISTA NI ANTI KIRCHNERISTA;DANIEL SCIOLI;SEC. COMP-TERC. INC
9;30-49;VARON;TERCIARIO NO UNIV. COMPLETO;DANIEL SCIOLI;DANIEL SCIOLI;MAURICIO MACRI;APRUEBA;MEJORÓ;SE MANTUVO IGUAL / NO CAMBIO;MANTENER ALGUNAS Y CAMBIAR OTRAS;DANIEL SCIOLI;EDUCACION, ASISTENCIA SOCIAL, SALUD;DANIEL SCIOLI;NO SABE;NI DE IZQUIERDA NI DE DERECHA;PERONISTA;KIRCHNERISTA;DANIEL SCIOLI;TERC/UNIV. COMPLETO
10;50-65;VARON;TERCIARIO NO UNIV. INCOMPLETO;MAURICIO MACRI;MAURICIO MACRI;NINGUNO / EN BLANCO;DESAPRUEBA;EMPEORÓ;EMPEORÓ;CAMBIAR TODAS;MAURICIO MACRI;RESPETO DE INSTITUCIONES;MAURICIO MACRI;BASTANTE;NO SABE;NI PERONISTA NI ANTI PERONISTA;ANTI KIRCHNERISTA;OTROS;SEC. COMP-TERC. INC
